veh id,manufacturer,nameplate,model,CVCM class,EPA class,fleet type,fuel type,footprint,baseline price,baseline mpg,baseline sales,predicted mpg
1,HONDA,Acura,MDX 4WD,11,SUV,T,G,50.8,45706.2,22.0527,57380,23.0111
2,HONDA,Acura,RDX,11,SUV,T,G,45.1,34588.2,24.1745,21271,26.4577474856571
3,HONDA,Acura,RL,4,MIDSIZE CARS,C,G,47.6,47934.9,24.5629,5132,23.7738
4,HONDA,Acura,TL,4,MIDSIZE CARS,C,G,47.8,35217.8162200282,27.0682371334018,56720,26.8841916376939
5,HONDA,Acura,TSX,3,COMPACT CARS,C,G,46,29483.1,29.8551728111155,21996,31.8716533652926
6,Aston Martin,Aston Martin,DB9,19,SUBCOMPACT CARS,C,G,46.1572222222222,175064.842105263,16.8501849083327,323,19.5372733708416
7,Aston Martin,Aston Martin,V8 Vantage,19,COMPACT CARS,C,G,43.9539930555556,113526,19.5327983951856,1047,19.9796168896723
8,VOLKSWAGEN,Audi,A3,8,SMALL STATION WAGONS,C,G,42.1888291666667,27239.1,32.2334117402585,4696,37.9511869723953
9,VOLKSWAGEN,Audi,A3 Quattro,3,SMALL STATION WAGONS,C,G,42.1888291666667,36403.8,27.2385,682,30.9119
10,VOLKSWAGEN,Audi,A4,3,COMPACT CARS,C,G,43.1208125,30402.7491742187,31.7139140556765,11807,34.1144
11,VOLKSWAGEN,Audi,A4 Avant Quattro,3,SMALL STATION WAGONS,C,G,43.1208125,33870.7226524685,28.8484909551181,3099,30.2463
12,VOLKSWAGEN,Audi,A4 Cabriolet,2,SUBCOMPACT CARS,C,G,43.1208125,41335.5,31.8203,2166,34.1144
13,VOLKSWAGEN,Audi,A4 Cabriolet Quattro,2,SUBCOMPACT CARS,C,G,43.1208125,44924.7703583062,28.0773847275554,2763,29.9422
14,VOLKSWAGEN,Audi,A4 Quattro,3,COMPACT CARS,C,G,43.1208125,32875.3295672974,28.8093895808131,23411,30.6411709846895
15,VOLKSWAGEN,Audi,A5 Quattro,2,SUBCOMPACT CARS,C,G,46.8923958333333,41488.5,26.6830195880222,1817,30.1053428423456
16,VOLKSWAGEN,Audi,A6,4,MIDSIZE CARS,C,G,49.4202041666667,44599.5,27.8168,2390,28.184
17,VOLKSWAGEN,Audi,A6 Avant Quattro,4,MIDSIZE STATION WAGONS,C,G,49.4202041666667,50770.5,25.4028,1118,26.2052
18,VOLKSWAGEN,Audi,A6 Quattro,4,MIDSIZE CARS,C,G,49.4202041666667,49079.8886205485,25.6117160817217,12215,26.1370370578263
19,VOLKSWAGEN,Audi,A8,4,MIDSIZE CARS,C,G,51.1891666666667,72894.3,23.8878,509,23.784
20,VOLKSWAGEN,Audi,A8 L,19,LARGE CARS,C,G,51.1891666666667,78376.3644324324,23.7234164118934,1850,23.784
21,VOLKSWAGEN,Audi,Q7,11,SUV,T,G,54.0703575697424,50321.6350131267,20.0465749210163,15617,21.8339059845775
22,VOLKSWAGEN,Audi,R8,19,TWO SEATERS,C,G,46.5862430555556,112200,18.8539110154616,572,18.0917218486494
23,VOLKSWAGEN,Audi,S4,3,COMPACT CARS,C,G,43.2555666666667,51206.0272933182,20.3659867719768,883,25.9902709382935
24,VOLKSWAGEN,Audi,S4 Cabriolet,2,SUBCOMPACT CARS,C,G,43.2555666666667,59512.793814433,20.3931798876735,291,24.7961
25,VOLKSWAGEN,Audi,S5,2,SUBCOMPACT CARS,C,G,46.8923958333333,52300.5,21.502279255361,1340,23.2283111649543
